1980,5144.856
1980.25,2651.3157920000003
1980.50,5144.856000000001
1980.75,8231.769600000001
1981,4870.463680000001
1981.25,6173.827200000001
1981.50,9397.936960000003
1981.75,13976.858800000002
1982,16377.7916
1982.25,5402.098800000001
1982.50,0
1982.75,5906.294688
1983,14848.054415999997
1983.25,13767.634656000004
1983.50,15064.138367999996
1983.75,6441.359712000001
1984,7586.947648000001
1984.25,7161.6395520000015
1984.50,7573.228032000002
1984.75,6166.967392000001
1985,3951.2494080000006
1985.25,2860.539936
1985.50,1920.74624
1985.75,4307.959424000001
1986,52930.27852800001
1986.25,55646.762496
1986.50,83521.592304
1986.75,229933.90435200007
1987,188219.41190399998
1987.25,111701.68356799993
1987.50,195295.3038560002
1987.75,301769.81372799986
1988,248012.92833600007
1988.25,230129.40888000018
1988.50,180145.41788800014
1988.75,209049.21889600018
1989,161250.07675200002
1989.25,150764.860224
1989.50,142310.146864
1989.75,126786.40136000006
1990,117398.75411200001
1990.25,37814.691600000006
1990.50,73797.81446400002
1990.75,69472.70552000002
1991,117364.45507200003
1991.25,194715.65008000008
1991.50,165009.25153600003
1991.75,206703.16456000006
1992,83446.13441600002
1992.25,134575.71334400005
1992.50,134726.62912
1992.75,135453.768768
1993,173354.20796799994
1993.25,155604.45476799994
1993.50,195319.31318399997
1993.75,199466.06711999988
1994,163664.72916800002
1994.25,194972.89288
1994.50,230870.26814399994
1994.75,148020.937024
1995,197044.55489600007
1995.25,213837.36488000007
1995.50,149053.33812800003
1995.75,131684.30427199995
1996,59224.152368
1996.25,88412.635408
1996.50,72532.17988799998
1996.75,43230.51001600001
1997,159939.8534240001
1997.25,176108.42088000002
1997.50,159168.12502400018
1997.75,148209.58174400014
1998,112730.65476800002
1998.25,139171.78470400005
1998.50,128175.51248000002
1998.75,251288.4866560003
1999,107006.14499200005
1999.25,176019.24337600006
1999.50,176688.0746560001
1999.75,142831.49227200006
2000,186326.10489600006
2000.25,266287.456848
2000.50,384375.6216640003
2000.75,303244.67244800023
2001,236042.56337600015
2001.25,212139.56240000017
2001.50,397995.7704479997
2001.75,449317.42399999953
2002,204435.99801600003
2002.25,178.35500800000003
2002.50,89.17750400000001
2002.75,35324.581296000004
2003,540947.30936
2003.25,622085.1183839998
2003.50,282267.37958399986
2003.75,125362.99120000005
2004,139278.11172800005
2004.25,458238.6043040002
2004.50,533703.3521120005
2004.75,75821.457824
2005,184206.4242239999
2005.25,319166.28681600007
2005.50,490977.03798400064
2005.75,446967.9397599999
2006,514739.4128960002
2006.25,572200.5946080006
2006.50,513696.7220800001
2006.75,486106.57430400024
2007,468552.3256320003
2007.25,395447.35177600017
2007.50,463345.7313600005
2007.75,459305.30444800045
2008,521811.87494400004
2008.25,485605.8083200002
2008.50,440608.89774400054
2008.75,301944.73883200134
2009,0
2009.25,1152.447744
2009.50,466.46694400000007
2009.75,0
2010,247958.0498720003
2010.25,333664.4910240003
2010.50,321231.0890240002
2010.75,321056.1639200004
2011,328529.9247360002
2011.25,287916.43147200014
2011.50,464655.95468800067
2011.75,866873.9369599968
2012,830328.3098399985
2012.25,850677.9302719987
2012.50,806147.4866399989
2012.75,881663.6830079976
2013,631112.6257120011
2013.25,591507.5242240011
2013.50,706032.0187840002
2013.75,782210.1866239975
2014,781757.4392959962
2014.25,822278.3251519959
2014.50,855174.5344159957
2014.75,879345.0679039955
2015,835466.3060319955
2015.25,866805.3388799952
2015.50,705551.8322239976
2015.75,315561.45771199936
2016,406395.60534400103
2016.25,382135.8943519994
2016.50,344976.31441599916
2016.75,400427.57238399924
2017,197401.26491200013
2017.25,46869.638159999835
2017.50,215099.56955200047
2017.75,413847.0717840001
2018,447955.75211199926
2018.25,392405.02692799934
2018.50,370186.1088159994
2018.75,274766.17953599966
2019,429712.0927359995
2019.25,405990.87667199963
2019.50,417429.60651199974
2019.75,302225.99096000014
2020,434918.6870080004
2020.25,431855.78273599985
2020.50,436980.05931199994
2020.75,206552.24878400017
2021,383223.17392000055
2021.25,509141.80956800055
2021.50,564953.2074560008
2021.75,613613.2555040019
2022,549811.8962480011
2022.25,472007.95391200046
2022.50,526668.6190080029
2022.75,560628.098512002
2023,406621.97900800133
2023.25,378609.95304000075
2023.50,275500.1789919998
2023.75,0
